$GPRMC,185935,A,04025.7368,N,08654.0527,W,005.325,1476
$GPRMC,185936,A,04025.7373,N,08654.0547,W,005.626,1494
$GPRMC,185937,A,04025.7375,N,08654.0576,W,006.034,1512
$GPRMC,185938,A,04025.7373,N,08654.0596,W,006.162,1530
$GPRMC,185939,A,04025.7368,N,08654.0615,W,005.895,1548
$GPRMC,185940,A,04025.7346,N,08654.0654,W,007.803,1566
$GPRMC,185941,A,04025.7327,N,08654.0674,W,007.942,1584
$GPRMC,185942,A,04025.7314,N,08654.0703,W,008.345,1602
$GPRMC,185943,A,04025.7300,N,08654.0732,W,008.345,1620
$GPRMC,185944,A,04025.7285,N,08654.0752,W,008.164,1638
$GPRMC,185945,A,04025.7266,N,08654.0781,W,009.167,1656
$GPRMC,185946,A,04025.7246,N,08654.0811,W,009.167,1674
$GPRMC,185947,A,04025.7236,N,08654.0830,W,008.788,1692
$GPRMC,185948,A,04025.7212,N,08654.0859,W,009.297,1710
$GPRMC,185949,A,04025.7200,N,08654.0889,W,009.266,1728
$GPRMC,185950,A,04025.7185,N,08654.0908,W,009.266,1746
$GPRMC,185951,A,04025.7170,N,08654.0938,W,009.266,1764
$GPRMC,185952,A,04025.7151,N,08654.0967,W,009.266,1782
$GPRMC,185953,A,04025.7136,N,08654.0986,W,008.854,1800
$GPRMC,185954,A,04025.7126,N,08654.0996,W,008.108,1818
$GPRMC,185955,A,04025.7109,N,08654.1025,W,008.014,1836
$GPRMC,185956,A,04025.7019,N,08654.0938,W,007.426,1854
$GPRMC,185957,A,04025.6990,N,08654.0928,W,006.019,1872
$GPRMC,185958,A,04025.6987,N,08654.0938,W,004.299,1890
$GPRMC,185959,A,04025.6978,N,08654.0928,W,003.318,1908
$GPRMC,190000,A,04025.6973,N,08654.0928,W,002.540,1926
$GPRMC,190001,A,04025.6965,N,08654.0918,W,002.274,1944
$GPRMC,190002,A,04025.6958,N,08654.0918,W,002.012,1962
$GPRMC,190003,A,04025.6956,N,08654.0918,W,001.726,1980
$GPRMC,190004,A,04025.6953,N,08654.0928,W,001.783,1998
$GPRMC,190005,A,04025.6953,N,08654.0928,W,001.049,2016
$GPRMC,190006,A,04025.6951,N,08654.0928,W,000.912,2034
$GPRMC,190007,A,04025.6948,N,08654.0928,W,000.759,2052
$GPRMC,190008,A,04025.6946,N,08654.0928,W,000.452,2070
$GPRMC,190009,A,04025.6946,N,08654.0928,W,000.338,2088
$GPRMC,190010,A,04025.6946,N,08654.0928,W,000.578,2106
$GPRMC,190011,A,04025.6948,N,08654.0928,W,001.103,2124
$GPRMC,190012,A,04025.6951,N,08654.0938,W,001.827,2142
